timestamp,open,high,low,close,volume
2019-11-18,2.7200,2.7600,2.2600,2.2800,64733189
2019-11-15,2.7600,3.1700,2.7000,2.7300,56889570
2019-11-14,3.4200,3.4300,3.1100,3.2900,28673400
2019-11-13,3.5700,3.5800,3.5000,3.5500,14679000
2019-11-12,3.6000,3.7000,3.5500,3.5700,13600200
2019-11-11,3.7500,3.7900,3.6000,3.6200,12862700
2019-11-08,3.6200,3.8200,3.5600,3.8100,18992000
2019-11-07,3.7900,3.8200,3.5800,3.5800,12169100
2019-11-06,3.8000,3.9200,3.7200,3.7300,12805300
2019-11-05,3.6000,3.8400,3.5900,3.7600,13724600
2019-11-04,3.6100,3.6660,3.5800,3.6000,8046200
2019-11-01,3.5800,3.6400,3.5500,3.5800,5846200
2019-10-31,3.6400,3.6500,3.5100,3.5900,8469900
2019-10-30,3.6000,3.6900,3.5800,3.6100,6275000
2019-10-29,3.6700,3.6700,3.5800,3.6000,9692800
2019-10-28,3.8500,3.9400,3.6800,3.6900,13202300
2019-10-25,3.7000,3.8300,3.6400,3.8000,13094500
2019-10-24,3.6800,3.7400,3.6000,3.7200,9298900
2019-10-23,3.5500,3.7300,3.5000,3.6700,13240600
2019-10-22,3.6100,3.6600,3.5500,3.5800,11833000
2019-10-21,3.7000,3.7400,3.5100,3.6900,14667000
2019-10-18,3.8900,3.9100,3.6600,3.6800,15630500
2019-10-17,3.8100,3.9100,3.7000,3.8900,21145700
2019-10-16,3.8000,3.8100,3.5900,3.6100,15297400
2019-10-15,3.6300,3.8500,3.5200,3.7600,27338000
2019-10-14,3.6400,3.6800,3.4000,3.5100,18193200
2019-10-11,3.7400,3.8700,3.6400,3.6800,20392500
2019-10-10,4.0300,4.0590,3.7200,3.7200,29453000
2019-10-09,4.1700,4.2800,4.0850,4.1100,12759900
2019-10-08,4.0800,4.2500,3.9500,4.1500,14801300
2019-10-07,4.3600,4.3720,4.1100,4.1100,14712600
2019-10-04,4.6200,4.6400,4.3600,4.4000,14331800
2019-10-03,4.2300,4.5200,4.0700,4.5100,20579000
2019-10-02,4.0500,4.3300,3.8000,4.1500,27718500
2019-10-01,4.3300,4.3900,4.0500,4.1200,24142200
2019-09-30,4.5800,4.6000,4.3300,4.3900,18435400
2019-09-27,4.7000,4.8400,4.6000,4.6200,10850200
2019-09-26,4.9000,4.9200,4.6800,4.7400,12478100
2019-09-25,4.7300,4.8700,4.5100,4.7600,16114200
2019-09-24,5.0500,5.0700,4.7200,4.7600,17774200
2019-09-23,4.9300,5.2400,4.9300,5.0800,12209400
2019-09-20,5.1000,5.1000,4.9210,5.0200,17480300
2019-09-19,5.2700,5.2900,5.1500,5.1600,9430100
2019-09-18,5.2600,5.4200,5.1900,5.2700,12851300
2019-09-17,5.4000,5.5400,5.1400,5.2700,27354700
2019-09-16,5.7500,5.8300,5.4500,5.4500,33981300
2019-09-13,5.9200,6.0000,5.8000,5.9500,12475400
2019-09-12,5.8700,6.0400,5.7600,5.8900,25166900
2019-09-11,6.3400,6.5000,6.1700,6.4900,22733300
2019-09-10,6.0200,6.2900,5.8900,6.2800,13406600
2019-09-09,6.2300,6.2700,5.8900,6.0100,13294500
2019-09-06,5.9000,6.2300,5.8000,6.0800,15336700
2019-09-05,5.5900,5.8700,5.5700,5.8600,12551000
